"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\app\distribution\page.tsx", "TypeScript JSX", 211, 0, 0, 0, 13, 23, 247
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\app\globals.css", "CSS", 0, 0, 0, 22, 0, 5, 27
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\app\grondtest\page.tsx", "TypeScript JSX", 267, 0, 0, 0, 18, 23, 308
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\app\layout.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 5, 35
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\app\page.tsx", "TypeScript JSX", 101, 0, 0, 0, 0, 3, 104
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\FertilizerCard.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 6, 65
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\Sidebar.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 1, 50
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\CropRecommendationCard.tsx", "TypeScript JSX", 101, 0, 0, 0, 10, 12, 123
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\FarmerDetails.tsx", "TypeScript JSX", 74, 0, 0, 0, 7, 11, 92
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\FarmerDistribution.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 4, 42
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\FertilizerCompanyList.tsx", "TypeScript JSX", 230, 0, 0, 0, 24, 35, 289
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\FoodServiceStats.tsx", "TypeScript JSX", 272, 0, 0, 0, 12, 19, 303
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\FoodWasteAllocations.tsx", "TypeScript JSX", 41, 0, 0, 0, 2, 4, 47
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\components\distribution\SoilCompositionPanel.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 3, 36
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\agricultural_data.json", "JSON", 0, 0, 1002, 0, 0, 0, 1002
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\crops.json", "JSON", 0, 0, 49, 0, 0, 0, 49
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\fertilizer_data.json", "JSON", 0, 0, 200, 0, 0, 0, 200
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\fertilizers.json", "JSON", 0, 0, 42, 0, 0, 0, 42
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\foodWasteMinerals.ts", "TypeScript", 0, 38, 0, 0, 1, 1, 40
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\data\food_service_data.json", "JSON", 0, 0, 535, 0, 0, 0, 535
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\types\agricultural.ts", "TypeScript", 0, 97, 0, 0, 4, 7, 108
"c:\Users\matia\OneDrive - KU Leuven\Documents\holy_hack_aft\Team-20-Ctrl-Alt-Elite-OMP\dashboard\src\utils\fertilizerUtils.ts", "TypeScript", 0, 416, 0, 0, 82, 90, 588
"Total", "-", 1506, 551, 1828, 22, 173, 252, 4332
